Antecedents,Consequents,Confidence,Lift
12 PENCILS TALL TUBE WOODLAND,ROUND SNACK BOXES SET OF4 WOODLAND,0.7777777777777777,3.1736111111111107
BRIGHT BLUES RIBBONS,6 RIBBONS RUSTIC CHARM,1.0,9.72340425531915
OWL DOORSTOP,6 RIBBONS RUSTIC CHARM,0.7142857142857143,6.945288753799392
ROMANTIC PINKS RIBBONS,6 RIBBONS RUSTIC CHARM,0.7,6.806382978723404
60 CAKE CASES DOLLY GIRL DESIGN,PACK OF 72 RETROSPOT CAKE CASES,0.8571428571428571,10.043956043956044
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.7142857142857143,8.36996336996337
60 TEATIME FAIRY CAKE CASES,PACK OF 72 SKULL CAKE CASES,0.7142857142857143,29.675324675324674
ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE RED,0.8181818181818182,17.805194805194805
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.7333333333333334,15.95873015873016
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE RED,0.7777777777777777,16.925925925925924
BAKING SET SPACEBOY DESIGN,BAKING SET 9 PIECE RETROSPOT,0.7777777777777777,16.925925925925924
CHILDS BREAKFAST SET DOLLY GIRL,BAKING SET 9 PIECE RETROSPOT,0.7142857142857143,15.54421768707483
PINK HAPPY BIRTHDAY BUNTING,BLUE HAPPY BIRTHDAY BUNTING,1.0,32.642857142857146
PINK OWL SOFT TOY,BLUE OWL SOFT TOY,0.7692307692307692,23.435897435897434
PINK POLKADOT BOWL,BLUE POLKADOT BOWL,0.7,21.326666666666668
BLUE POLKADOT BOWL,RED RETROSPOT CUP,0.8,11.425
BLUE POLKADOT PLATE,BLUE POLKADOT CUP,0.7692307692307692,15.979020979020977
GREEN POLKADOT PLATE,BLUE POLKADOT CUP,0.7142857142857143,14.837662337662337
PINK POLKADOT BOWL,BLUE POLKADOT CUP,0.7,14.54090909090909
BLUE POLKADOT CUP,RED RETROSPOT CUP,0.7272727272727272,10.386363636363635
BLUE POLKADOT WRAP,PINK POLKADOT WRAP,0.7142857142857143,54.404761904761905
PINK POLKADOT WRAP,BLUE POLKADOT WRAP,0.8333333333333334,54.40476190476191
BLUE POLKADOT WRAP,RED RETROSPOT WRAP,1.0,41.54545454545455
BLUE SPOT CERAMIC DRAWER KNOB,WHITE SPOT BLUE CERAMIC DRAWER KNOB,0.7692307692307692,21.971153846153847
BLUE SPOT CERAMIC DRAWER KNOB,WHITE SPOT RED CERAMIC DRAWER KNOB,0.7692307692307692,14.647435897435896
BLUE STRIPE CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,0.8461538461538461,18.413919413919412
BLUE STRIPE CERAMIC DRAWER KNOB,WHITE SPOT RED CERAMIC DRAWER KNOB,0.8461538461538461,16.11217948717949
PINK VINTAGE SPOT BEAKER,BLUE VINTAGE SPOT BEAKER,1.0,32.642857142857146
BLUE VINTAGE SPOT BEAKER,PINK VINTAGE SPOT BEAKER,0.7857142857142858,32.642857142857146
RED VINTAGE SPOT BEAKER,BLUE VINTAGE SPOT BEAKER,0.7142857142857143,23.316326530612248
BLUE VINTAGE SPOT BEAKER,RED VINTAGE SPOT BEAKER,0.7142857142857143,23.316326530612248
BREAD BIN DINER STYLE IVORY,IVORY KITCHEN SCALES,0.7,12.303846153846152
CARD CIRCUS PARADE,ROUND SNACK BOXES SET OF4 WOODLAND,0.7058823529411764,2.880252100840336
CARD SUKI BIRTHDAY,SPACEBOY LUNCH BOX,1.0,9.72340425531915
CHARLOTTE BAG DOLLY GIRL DESIGN,RED RETROSPOT CHARLOTTE BAG,0.75,10.7109375
CHARLOTTE BAG DOLLY GIRL DESIGN,WOODLAND CHARLOTTE BAG,0.875,6.894396551724138
CHARLOTTE BAG PINK POLKADOT,WOODLAND CHARLOTTE BAG,0.8181818181818182,6.446708463949844
CUTE CATS TAPE,CHARLOTTE BAG SUKI DESIGN,0.7142857142857143,15.54421768707483
CHARLOTTE BAG SUKI DESIGN,WOODLAND CHARLOTTE BAG,0.8095238095238095,6.378489326765189
CHARLOTTE BAG VINTAGE ALPHABET,ROUND SNACK BOXES SET OF4 WOODLAND,0.7142857142857143,2.914540816326531
CHILDREN'S SPACEBOY MUG,ROUND SNACK BOXES SET OF4 WOODLAND,0.7692307692307692,3.1387362637362637
CHILDRENS CUTLERY DOLLY GIRL,CHILDRENS CUTLERY SPACEBOY,0.782608695652174,16.25691699604743
CHILDRENS CUTLERY SPACEBOY,CHILDRENS CUTLERY DOLLY GIRL,0.8181818181818182,16.25691699604743
CHILDRENS CUTLERY POLKADOT BLUE,CHILDRENS CUTLERY POLKADOT PINK,0.8,28.123076923076923
CHILDS BREAKFAST SET DOLLY GIRL,CHILDS BREAKFAST SET SPACEBOY,0.8571428571428571,30.131868131868128
ROMANTIC PINKS RIBBONS,CHOCOLATE BOX RIBBONS,0.7,18.81764705882353
CHOCOLATE BOX RIBBONS,SCANDINAVIAN REDS RIBBONS,0.7058823529411764,15.361344537815125
URBAN BLACK RIBBONS,CHOCOLATE BOX RIBBONS,0.8571428571428571,23.04201680672269
