Antecedents,Consequents,Confidence,Lift,Classification
"SET OF 2 TEA TOWELS APPLE AND PEARS, PLASTERS IN TIN CIRCUS PARADE",ROUND SNACK BOXES SET OF 4 FRUITS,0.7142857142857143,4.533730158730158,Best
"SPACEBOY BIRTHDAY CARD, 6 RIBBONS RUSTIC CHARM",ROUND SNACK BOXES SET OF4 WOODLAND,1.0,4.080357142857143,Best
"BLUE POLKADOT CUP, BLUE POLKADOT BOWL, BLUE POLKADOT PLATE",RED RETROSPOT PLATE,0.8333333333333334,18.134920634920636,Best
"RED RETROSPOT PLATE, BLUE POLKADOT BOWL, BLUE POLKADOT PLATE",BLUE POLKADOT CUP,0.8333333333333334,17.310606060606062,Best
"BLUE POLKADOT CUP, BLUE POLKADOT PLATE, RED RETROSPOT PLATE",BLUE POLKADOT BOWL,0.8333333333333334,25.388888888888893,Best
"BLUE POLKADOT BOWL, BLUE POLKADOT PLATE","BLUE POLKADOT CUP, RED RETROSPOT PLATE",0.7142857142857143,29.675324675324674,Best
"BLUE POLKADOT CUP, ROUND SNACK BOXES SET OF 4 FRUITS, BLUE POLKADOT BOWL",BLUE POLKADOT PLATE,0.8333333333333334,29.294871794871796,Best
"BLUE POLKADOT CUP, ROUND SNACK BOXES SET OF 4 FRUITS, BLUE POLKADOT PLATE",BLUE POLKADOT BOWL,1.0,30.46666666666667,Best
"BLUE POLKADOT CUP, BLUE POLKADOT BOWL, BLUE POLKADOT PLATE",ROUND SNACK BOXES SET OF 4 FRUITS,0.8333333333333334,5.289351851851852,Best
"ROUND SNACK BOXES SET OF 4 FRUITS, BLUE POLKADOT BOWL, BLUE POLKADOT PLATE",BLUE POLKADOT CUP,1.0,20.772727272727273,Best
"BLUE POLKADOT CUP, ROUND SNACK BOXES SET OF 4 FRUITS","BLUE POLKADOT BOWL, BLUE POLKADOT PLATE",0.7142857142857143,46.632653061224495,Best
"ROUND SNACK BOXES SET OF 4 FRUITS, 6 RIBBONS RUSTIC CHARM",ROUND SNACK BOXES SET OF4 WOODLAND,0.9090909090909091,3.7094155844155843,Best
"ROUND SNACK BOXES SET OF 4 FRUITS, BLUE POLKADOT PLATE","BLUE POLKADOT CUP, BLUE POLKADOT BOWL",0.8333333333333334,38.083333333333336,Best
"BLUE POLKADOT BOWL, BLUE POLKADOT PLATE","BLUE POLKADOT CUP, ROUND SNACK BOXES SET OF 4 FRUITS",0.7142857142857143,46.632653061224495,Best
"ROMANTIC PINKS RIBBONS, 6 RIBBONS RUSTIC CHARM",SCANDINAVIAN REDS RIBBONS,0.8571428571428571,18.653061224489793,Best
"RED RETROSPOT CUP, BLUE POLKADOT CUP, GREEN POLKADOT BOWL",BLUE POLKADOT BOWL,1.0,30.46666666666667,Best
"BLUE POLKADOT BOWL, BLUE POLKADOT PLATE","RED RETROSPOT CUP, BLUE POLKADOT CUP",0.8571428571428571,24.482142857142858,Best
"RED RETROSPOT CUP, BLUE POLKADOT PLATE","BLUE POLKADOT CUP, BLUE POLKADOT BOWL",0.75,34.275,Best
"6 RIBBONS RUSTIC CHARM, SPACEBOY LUNCH BOX",ROUND SNACK BOXES SET OF4 WOODLAND,0.9000000000000001,3.672321428571429,Best
"BLUE POLKADOT CUP, BLUE POLKADOT BOWL, BLUE POLKADOT PLATE",RED RETROSPOT CUP,1.0,14.28125,Best
"ROUND SNACK BOXES SET OF4 WOODLAND, WOODLAND CHARLOTTE BAG, BLUE HARMONICA IN BOX",ROUND SNACK BOXES SET OF 4 FRUITS,0.75,4.760416666666666,Best
"6 RIBBONS RUSTIC CHARM, SET OF 12 FAIRY CAKE BAKING CASES",SET OF 12 MINI LOAF BAKING CASES,1.0,24.05263157894737,Best
"SET OF 12 MINI LOAF BAKING CASES, 6 RIBBONS RUSTIC CHARM",SET OF 12 FAIRY CAKE BAKING CASES,0.8333333333333334,20.04385964912281,Best
"SET OF 6 RIBBONS VINTAGE CHRISTMAS, 6 RIBBONS RUSTIC CHARM",SCANDINAVIAN REDS RIBBONS,0.7142857142857143,15.54421768707483,Best
