Antecedents,Consequents,Confidence,Lift
LUNCH BAG APPLE DESIGN,10 COLOUR SPACEBOY PEN,0.17857142857142858,7.4188311688311686
SPACEBOY LUNCH BOX,10 COLOUR SPACEBOY PEN,0.1276595744680851,5.303675048355899
ROUND SNACK BOXES SET OF4 WOODLAND,12 PENCILS TALL TUBE WOODLAND,0.0625,3.173611111111111
3 HOOK HANGER MAGIC GARDEN,5 HOOK HANGER RED MAGIC TOADSTOOL,0.33333333333333337,8.96078431372549
5 HOOK HANGER RED MAGIC TOADSTOOL,3 HOOK HANGER MAGIC GARDEN,0.29411764705882354,8.960784313725492
3 HOOK HANGER MAGIC GARDEN,JUMBO BAG APPLES,0.33333333333333337,5.440476190476192
JUMBO BAG APPLES,3 HOOK HANGER MAGIC GARDEN,0.17857142857142858,5.440476190476191
ROUND SNACK BOXES SET OF 4 FRUITS,3 HOOK HANGER MAGIC GARDEN,0.09722222222222221,2.962037037037037
ROUND SNACK BOXES SET OF4 WOODLAND,3 HOOK HANGER MAGIC GARDEN,0.0625,1.9041666666666668
3 HOOK HANGER MAGIC GARDEN,WOODLAND CHARLOTTE BAG,0.33333333333333337,2.6264367816091956
WOODLAND CHARLOTTE BAG,3 HOOK HANGER MAGIC GARDEN,0.08620689655172413,2.6264367816091956
PLASTERS IN TIN CIRCUS PARADE,3 PIECE SPACEBOY COOKIE CUTTER SET,0.11320754716981132,2.722939424031778
3 PIECE SPACEBOY COOKIE CUTTER SET,PLASTERS IN TIN CIRCUS PARADE,0.31578947368421056,2.722939424031778
PLASTERS IN TIN SPACEBOY,3 PIECE SPACEBOY COOKIE CUTTER SET,0.14285714285714285,3.43609022556391
3 PIECE SPACEBOY COOKIE CUTTER SET,PLASTERS IN TIN SPACEBOY,0.368421052631579,3.43609022556391
PLASTERS IN TIN WOODLAND ANIMALS,3 PIECE SPACEBOY COOKIE CUTTER SET,0.07936507936507936,1.908939014202172
3 PIECE SPACEBOY COOKIE CUTTER SET,PLASTERS IN TIN WOODLAND ANIMALS,0.2631578947368421,1.908939014202172
ROUND SNACK BOXES SET OF 4 FRUITS,3 PIECE SPACEBOY COOKIE CUTTER SET,0.09722222222222221,2.3384502923976607
3 PIECE SPACEBOY COOKIE CUTTER SET,ROUND SNACK BOXES SET OF 4 FRUITS,0.368421052631579,2.338450292397661
ROUND SNACK BOXES SET OF4 WOODLAND,3 PIECE SPACEBOY COOKIE CUTTER SET,0.08928571428571429,2.147556390977444
3 PIECE SPACEBOY COOKIE CUTTER SET,SET OF 20 KIDS COOKIE CUTTERS,0.2631578947368421,13.362573099415203
3 PIECE SPACEBOY COOKIE CUTTER SET,SPACEBOY LUNCH BOX,0.368421052631579,3.582306830907055
SPACEBOY LUNCH BOX,3 PIECE SPACEBOY COOKIE CUTTER SET,0.14893617021276595,3.582306830907055
SET/6 RED SPOTTY PAPER CUPS,36 PENCILS TUBE RED RETROSPOT,0.20833333333333334,8.655303030303031
6 RIBBONS RUSTIC CHARM,36 PENCILS TUBE WOODLAND,0.10638297872340426,4.051418439716312
ROUND SNACK BOXES SET OF 4 FRUITS,36 PENCILS TUBE WOODLAND,0.06944444444444443,2.6446759259259256
ROUND SNACK BOXES SET OF4 WOODLAND,36 PENCILS TUBE WOODLAND,0.0625,2.3802083333333335
WOODLAND CHARLOTTE BAG,36 PENCILS TUBE WOODLAND,0.10344827586206896,3.939655172413793
ROUND SNACK BOXES SET OF4 WOODLAND,4 TRADITIONAL SPINNING TOPS,0.044642857142857144,1.8547077922077921
ROUND SNACK BOXES SET OF 4 FRUITS,5 HOOK HANGER RED MAGIC TOADSTOOL,0.06944444444444443,1.8668300653594767
5 HOOK HANGER RED MAGIC TOADSTOOL,ROUND SNACK BOXES SET OF 4 FRUITS,0.29411764705882354,1.8668300653594772
ROUND SNACK BOXES SET OF4 WOODLAND,5 HOOK HANGER RED MAGIC TOADSTOOL,0.044642857142857144,1.2001050420168067
5 HOOK HANGER RED MAGIC TOADSTOOL,ROUND SNACK BOXES SET OF4 WOODLAND,0.29411764705882354,1.200105042016807
5 HOOK HANGER RED MAGIC TOADSTOOL,SET 2 PANTRY DESIGN TEA TOWELS,0.29411764705882354,5.843989769820972
SET 2 PANTRY DESIGN TEA TOWELS,5 HOOK HANGER RED MAGIC TOADSTOOL,0.21739130434782605,5.843989769820971
JUMBO BAG 50'S CHRISTMAS,6 GIFT TAGS VINTAGE CHRISTMAS,0.35714285714285715,16.321428571428573
ALARM CLOCK BAKELIKE IVORY,6 RIBBONS RUSTIC CHARM,0.3846153846153846,3.7397708674304413
6 RIBBONS RUSTIC CHARM,ALARM CLOCK BAKELIKE IVORY,0.10638297872340426,3.7397708674304417
ALARM CLOCK BAKELIKE PINK,6 RIBBONS RUSTIC CHARM,0.25,2.4308510638297873
6 RIBBONS RUSTIC CHARM,ALARM CLOCK BAKELIKE PINK,0.1702127659574468,2.4308510638297873
ASSORTED COLOUR MINI CASES,6 RIBBONS RUSTIC CHARM,0.33333333333333337,3.2411347517730498
6 RIBBONS RUSTIC CHARM,ASSORTED COLOUR MINI CASES,0.10638297872340426,3.2411347517730498
6 RIBBONS RUSTIC CHARM,BLUE HARMONICA IN BOX,0.19148936170212766,3.9777562862669242
6 RIBBONS RUSTIC CHARM,BRIGHT BLUES RIBBONS,0.10638297872340426,9.72340425531915
CARD CIRCUS PARADE,6 RIBBONS RUSTIC CHARM,0.3529411764705882,3.431789737171464
6 RIBBONS RUSTIC CHARM,CARD CIRCUS PARADE,0.1276595744680851,3.431789737171464
CHARLOTTE BAG APPLES DESIGN,6 RIBBONS RUSTIC CHARM,0.30000000000000004,2.917021276595745
6 RIBBONS RUSTIC CHARM,CHARLOTTE BAG APPLES DESIGN,0.19148936170212766,2.917021276595745
CHARLOTTE BAG SUKI DESIGN,6 RIBBONS RUSTIC CHARM,0.38095238095238093,3.704154002026342
6 RIBBONS RUSTIC CHARM,CHARLOTTE BAG SUKI DESIGN,0.1702127659574468,3.704154002026342
CHILDRENS CUTLERY DOLLY GIRL,6 RIBBONS RUSTIC CHARM,0.2608695652173913,2.536540240518039
6 RIBBONS RUSTIC CHARM,CHILDRENS CUTLERY DOLLY GIRL,0.1276595744680851,2.5365402405180384
6 RIBBONS RUSTIC CHARM,CHOCOLATE BOX RIBBONS,0.2127659574468085,5.719649561952441
COFFEE MUG APPLES DESIGN,6 RIBBONS RUSTIC CHARM,0.17857142857142858,1.736322188449848
6 RIBBONS RUSTIC CHARM,COFFEE MUG APPLES DESIGN,0.10638297872340426,1.736322188449848
6 RIBBONS RUSTIC CHARM,ENAMEL FLOWER JUG CREAM,0.10638297872340426,6.077127659574469
FAWN BLUE HOT WATER BOTTLE,6 RIBBONS RUSTIC CHARM,0.17241379310344826,1.6764490095377842
6 RIBBONS RUSTIC CHARM,FAWN BLUE HOT WATER BOTTLE,0.10638297872340426,1.6764490095377844
GUMBALL COAT RACK,6 RIBBONS RUSTIC CHARM,0.2424242424242424,2.3571889103803993
6 RIBBONS RUSTIC CHARM,GUMBALL COAT RACK,0.1702127659574468,2.3571889103803993
IVORY KITCHEN SCALES,6 RIBBONS RUSTIC CHARM,0.1923076923076923,1.8698854337152206
6 RIBBONS RUSTIC CHARM,IVORY KITCHEN SCALES,0.10638297872340426,1.8698854337152209
JAM MAKING SET PRINTED,6 RIBBONS RUSTIC CHARM,0.16666666666666666,1.6205673758865247
6 RIBBONS RUSTIC CHARM,JAM MAKING SET PRINTED,0.14893617021276595,1.6205673758865247
